pid,grp,duration
1,0,6
1,2,146
1,3,-99
2,0,6
2,1,3
2,2,8
2,3,-99
3,0,6
3,1,21
3,3,-99
4,0,7
4,1,10
4,2,17
4,3,-99
5,1,114
5,3,-99
6,0,8
6,1,7
6,3,-99
7,0,9
7,1,15
7,2,24
7,3,-99
8,0,1
8,1,9
8,2,16
8,3,-99
9,0,5
9,1,31
9,2,40
9,3,-99
10,0,5
10,1,130
10,3,-99
11,0,22
11,1,74
11,2,26
11,3,-99
12,0,1
12,1,16
12,2,13
12,3,-99
13,0,2
13,1,1
13,2,11
13,3,-99
14,0,13
14,1,6
14,2,22
14,3,-99
15,0,8
15,1,7
15,3,-99
16,2,19
16,3,-99
17,0,1
17,1,4
17,2,3
17,3,-99
18,0,7
18,1,10
18,2,17
18,3,-99
19,0,7
19,1,33
19,2,4
19,3,-99
20,1,1
20,2,118
20,3,-99
21,0,11
21,1,7
21,2,9
21,3,-99
22,1,6
22,2,14
22,3,-99
23,0,20
23,1,21
23,2,4
23,3,-99
24,0,3
24,1,4
24,2,2
24,3,-99
25,0,9
25,1,5
25,2,17
25,3,-99
26,0,3
26,1,6
26,3,-99
27,0,6
27,1,12
27,2,7
27,3,-99
28,1,13
28,2,6
28,3,-99
29,0,1
29,1,34
29,2,130
29,3,-99
30,0,12
30,1,20
30,2,19
30,3,-99
31,0,120
31,1,4
31,2,2
31,3,-99
32,0,3
32,2,6
32,3,-99
33,0,3
33,1,50
33,3,-99
34,1,32
34,2,101
34,3,-99
35,0,5
35,1,178
35,2,1
35,3,-99
36,0,11
36,1,2
36,2,24
36,3,-99
37,1,5
37,3,-99
38,1,21
38,2,8
38,3,-99
39,0,1
39,1,2
39,3,-99
40,0,2
40,1,11
40,2,139
40,3,-99
41,0,1
41,1,57
41,3,-99
42,0,10
42,1,2
42,2,6
42,3,-99
43,0,22
43,1,4
43,2,26
43,3,-99
44,0,1
44,1,2
44,3,-99
45,1,1
45,2,2
45,3,-99
46,0,1
46,1,20
46,2,70
46,3,-99
47,0,1
47,2,12
47,3,-99
48,0,57
48,1,193
48,2,9
48,3,-99
49,0,3
49,1,12
49,2,16
49,3,-99
50,1,5
50,2,1
50,3,-99
51,0,3
51,1,21
51,2,13
51,3,-99
52,0,9
52,1,3
52,2,24
52,3,-99
53,0,3
53,2,10
53,3,-99
54,0,3
54,1,2
54,2,109
54,3,-99
55,0,3
55,1,7
55,2,11
